# Tennis strings database
# Multi-value fields use | as separator (gauges, whyPick)
# Ratings: 1–10 scale
# type:      polyester | multifilament | natural-gut | synthetic-gut
# feel:      crisp | soft | firm | lively
# shape:     round | pentagonal | hexagonal | octagonal | textured
# priceBand: budget | mid | premium
# armFriendly: true | false
slug,brand,name,type,feel,shape,gauges,armFriendly,priceBand,spin,control,power,comfort,durability,whyPick,notes
wilson-nxt,Wilson,NXT,multifilament,lively,round,16|17,true,premium,5,6,8,9,5,Exceptional comfort — closest feel to natural gut in a synthetic|Highly arm-friendly for tennis elbow sufferers|Lively and powerful — great for players with slower swing speeds|Popular as cross string in gut/NXT hybrids,Gold standard multifilament. Thousands of intertwined fibres create a lively cushioned feel that mimics natural gut at a fraction of the cost. The go-to for arm-sensitive players.
tecnifibre-x-one-biphase,Tecnifibre,X-One Biphase,multifilament,soft,round,16|17,true,premium,5,7,8,9,5,Best-in-class multifilament feel — soft responsive and confidence-inspiring|More control than NXT at a similar comfort level|Excellent for doubles players who need touch and feel at net|Arm-friendly without sacrificing shot-making ability,Often ranked as the best multifilament ever made. Unique bi-phase construction offers a soft plush feel with surprising control. The ideal string for sensitive arms and precision play.
prince-premier-control,Prince,Premier Control,multifilament,soft,round,16|17,true,mid,5,8,7,8,5,Better control than most multifilaments without losing arm-friendliness|Great mid-price option between synthetic gut and premium multis|Consistent and predictable feel throughout the string life|Solid choice for players transitioning from synthetic gut,Impressive comfort-to-control ratio. Slightly more muted than Wilson NXT, giving arm-sensitive players a predictable controlled response for consistent baseliners and volleyers.
head-velocity-mlt,Head,Velocity MLT,multifilament,lively,round,16|17,true,mid,5,6,9,8,5,Maximum power from a multifilament — ideal for short swingers|Highly arm-friendly with a plush cushioned feel|Good choice for senior players who want power without stress|Pairs well with control-oriented frames to balance the setup,Head's power multifilament. Most powerful multi on the list — ideal for players with short swings who need the string to help with pace. Very comfortable and lively on every shot.
babolat-xcel,Babolat,Xcel,multifilament,lively,round,16|17,true,mid,5,6,9,9,5,Maximum power and comfort from a multifilament|Very arm-friendly construction|Great for players with shorter swing speeds|Excellent cross string in hybrid setups,Babolat's power multifilament. Lively and exceptionally comfortable, delivering maximum power for arm-sensitive players. Popular as cross string in hybrid setups paired with poly mains.
tecnifibre-nrg2,Tecnifibre,NRG2,multifilament,lively,round,16|17|18,true,premium,5,7,8,9,5,Premium multifilament comfort and feel|More control than most multis — surprisingly precise|Available in 18g for exceptional touch|Arm-friendly with above-average tension maintenance,Tecnifibre's premium multifilament with excellent comfort and solid control. Available in a fine 18g gauge that gives touch players exceptional feel at the net. Holds tension better than most synthetics.
wilson-sensation,Wilson,Sensation,multifilament,soft,round,16|17,true,mid,4,7,7,8,5,Soft and comfortable all-rounder|Good control for a multifilament|Arm-friendly for recreational and club players|Reliable mid-tier option at an accessible price,Wilson's dependable mid-range multifilament. Soft comfortable feel with solid control. A reliable choice for recreational and club-level players who want consistent performance without going premium.
head-rip-control,Head,RIP Control,multifilament,lively,round,16|17,true,mid,5,6,8,8,5,High power from an arm-friendly multifilament|Lively feel suits attacking players|Good for players with shorter swing speeds|Mid-range price for a quality multifilament,Head's power multifilament offering a lively comfortable response. Well-suited to arm-sensitive players who want pace without the punishment of a stiff polyester string.
# ── Natural Gut ───────────────────────────────────────────────────────────────
babolat-vs-team,Babolat,VS Team Natural Gut,natural-gut,lively,round,15L|16|17,true,premium,6,7,9,10,4,The most comfortable string ever made — unmatched for arm health|Exceptional tension maintenance — plays like new for longer|Superb power and feel that no synthetic can fully replicate|Ideal as main string in a poly/gut hybrid,Made from natural bovine gut. The most comfortable lively and tension-holding string ever created. Used by Federer Nadal in hybrids and countless touring pros. Nothing else comes close.
wilson-natural-gut,Wilson,Natural Gut,natural-gut,lively,round,16|17,true,premium,6,7,9,10,4,All benefits of natural gut at a comparable quality level|Federer's choice — associated with touch feel and elegance|Excellent in gut/poly hybrids for maximum comfort and control|Ideal for serious players who want the very best feel,Wilson's premium natural gut trusted by ATP pros including Roger Federer. Comparable in quality to Babolat VS Team with a subtly different feel that some players prefer.
pacific-prime-gut,Pacific,Prime Gut,natural-gut,lively,round,16|17,true,premium,6,7,9,10,4,Natural gut comfort and feel at a slightly more accessible price|Excellent tension maintenance over time|Ideal as main string in hybrid setups|Genuinely arm-friendly — the best in class for comfort,Pacific's premium natural gut delivering comparable performance to Babolat VS Team. Excellent comfort power and tension maintenance. A solid alternative for players exploring natural gut.
bow-brand-natural-gut,Bow Brand,Natural Gut,natural-gut,lively,round,16|17,true,premium,6,7,9,10,4,Exceptional natural gut feel from one of the oldest string makers|Superb tension maintenance|Works brilliantly as hybrid main string|Classic natural gut properties at a premium price,Bow Brand has been making natural gut since 1927. Their gut delivers the classic comfort power and feel that natural gut is famous for. An excellent heritage alternative to Babolat and Wilson.
# ── Synthetic Gut ─────────────────────────────────────────────────────────────
prince-synthetic-gut,Prince,Synthetic Gut,synthetic-gut,lively,round,15L|16|17,true,budget,5,6,7,7,6,Best beginner string — reliable comfortable and affordable|Good all-round performance with no glaring weaknesses|Great for players still developing their game|Restrings easily and performs well across all tension ranges,Classic beginner string. Durable affordable and surprisingly capable. The go-to recommendation for new players and anyone who wants reliable comfortable all-round performance without breaking the bank.
wilson-synthetic-gut-power,Wilson,Synthetic Gut Power,synthetic-gut,lively,round,16|17,true,budget,5,6,8,7,6,More power than standard synthetic gut|Comfortable and arm-friendly at a very accessible price|Easy to find at clubs and sports shops|A natural step up from factory strings,Wilson's budget offering adds extra pop over standard synthetic gut. Solid for beginners and intermediate players wanting comfort and power without venturing into premium territory.
babolat-sg-spiraltek,Babolat,SG Spiraltek,synthetic-gut,lively,round,16|17,true,budget,5,6,7,7,6,Budget-friendly and comfortable synthetic gut|Reliable performance for beginners and casual players|Good starting point before moving to premium strings|Easy to find at clubs and shops,Babolat's entry-level synthetic gut. Comfortable affordable and reliable across all attributes. A solid choice for beginners and infrequent players who want decent performance at low cost.
head-synthetic-gut-pps,Head,Synthetic Gut PPS,synthetic-gut,lively,round,16|17,true,budget,4,6,7,7,6,Budget-priced all-rounder for beginners|Comfortable and forgiving on the arm|Good for juniors and adults new to the sport|Pairs well with Head beginner racquets,Head's basic synthetic gut offering. Reliable performance for beginners at a very accessible price. A good choice for junior players and adults starting out in the game.
gamma-synthetic-gut,Gamma,Synthetic Gut,synthetic-gut,lively,round,16|17,true,budget,5,6,7,7,7,Reliable budget option for recreational players|Slightly better durability than most budget synthetic guts|Good all-round performance at low cost|Widely available at clubs and sports shops,Gamma's durable synthetic gut. Offers slightly better longevity than most budget synthetic strings. A reliable consistent choice for recreational players who want solid performance without the cost.
tecnifibre-tgv,Tecnifibre,TGV,synthetic-gut,lively,round,16|17,true,budget,5,6,7,8,6,More comfortable than most synthetic guts|Tecnifibre quality at a budget price|Good for beginners and recreational players|Arm-friendly for extended play sessions,Tecnifibre's entry-level synthetic gut with better arm-friendliness than typical budget strings. Good comfort and reliability for beginners and recreational players who prioritise feel over everything else.
